รหัสยืนยัน,สถานะ,รหัส_นศ,วิเคราะห์ประเด็น,หลักฐาน,มุมมอง,เชื่อมโยง,สรุป,คะแนนรวม,จำนวนรอบ,การคัดลอก,V_ที่ได้,V_ที่ถูกต้อง,หมายเหตุ
TK-0353-44444-5R-0C-V46-D26,ไม่ถูกต้อง,353,4,4,4,4,4,20,5,0,V46,V10,V code ไม่ตรง: ได้ V46 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-0365-44444-5R-0C-V74-D26,ไม่ถูกต้อง,365,4,4,4,4,4,20,5,0,V74,V13,V code ไม่ตรง: ได้ V74 แต่ควรเป็น V13 → อาจเป็นรหัสปลอม!
TK-0086-43444-5R-0C-V38-D26,ไม่ถูกต้อง,86,4,3,4,4,4,19,5,0,V38,V08,V code ไม่ตรง: ได้ V38 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-0081-43344-5R-0C-V49-D26,ไม่ถูกต้อง,81,4,3,3,4,4,18,5,0,V49,V01,V code ไม่ตรง: ได้ V49 แต่ควรเป็น V01 → อาจเป็นรหัสปลอม!
TK-0231-44444-5R-0C-V16-D26,ไม่ถูกต้อง,231,4,4,4,4,4,20,5,0,V16,V05,V code ไม่ตรง: ได้ V16 แต่ควรเป็น V05 → อาจเป็นรหัสปลอม!
TK-0134-44444-5R-0C-V45-D26,ไม่ถูกต้อง,134,4,4,4,4,4,20,5,0,V45,V07,V code ไม่ตรง: ได้ V45 แต่ควรเป็น V07 → อาจเป็นรหัสปลอม!
TK-2027-44444-5R-0C-V05-D26,ไม่ถูกต้อง,2027,4,4,4,4,4,20,5,0,V05,V10,V code ไม่ตรง: ได้ V05 แต่ควรเป็น V10 → อาจเป็นรหัสปลอม!
TK-0138-44444-5R-0C-V95-D26,ไม่ถูกต้อง,138,4,4,4,4,4,20,5,0,V95,V11,V code ไม่ตรง: ได้ V95 แต่ควรเป็น V11 → อาจเป็นรหัสปลอม!
TK-0163-34343-5R-0C-V34-D26,ไม่ถูกต้อง,163,3,4,3,4,3,17,5,0,V34,V00,V code ไม่ตรง: ได้ V34 แต่ควรเป็น V00 → อาจเป็นรหัสปลอม!
TK-2123-44444-5R-0C-V57-D26,ไม่ถูกต้อง,2123,4,4,4,4,4,20,5,0,V57,V07,V code ไม่ตรง: ได้ V57 แต่ควรเป็น V07 → อาจเป็นรหัสปลอม!
TK-0414-43343-5R-0C-V15-D26,ไม่ถูกต้อง,414,4,3,3,4,3,17,5,0,V15,V97,V code ไม่ตรง: ได้ V15 แต่ควรเป็น V97 → อาจเป็นรหัสปลอม!
TK-2164-33343-5R-0C-V01-D26,ไม่ถูกต้อง,2164,3,3,3,4,3,16,5,0,V01,V98,V code ไม่ตรง: ได้ V01 แต่ควรเป็น V98 → อาจเป็นรหัสปลอม!
TK-0073-33343-5R-0C-V79-D26,ไม่ถูกต้อง,73,3,3,3,4,3,16,5,0,V79,V95,V code ไม่ตรง: ได้ V79 แต่ควรเป็น V95 → อาจเป็นรหัสปลอม!
TK-0052-43444-5R-0C-V84-D26,ไม่ถูกต้อง,52,4,3,4,4,4,19,5,0,V84,V01,V code ไม่ตรง: ได้ V84 แต่ควรเป็น V01 → อาจเป็นรหัสปลอม!
TK-0097-43344-5R-0C-V13-D26,ไม่ถูกต้อง,97,4,3,3,4,4,18,5,0,V13,V08,V code ไม่ตรง: ได้ V13 แต่ควรเป็น V08 → อาจเป็นรหัสปลอม!
TK-0016-43434-5R-0C-V77-D26,ไม่ถูกต้อง,16,4,3,4,3,4,18,5,0,V77,V94,V code ไม่ตรง: ได้ V77 แต่ควรเป็น V94 → อาจเป็นรหัสปลอม!
TK-0186-43434-5R-0C-V65-D26,ไม่ถูกต้อง,186,4,3,4,3,4,18,5,0,V65,V02,V code ไม่ตรง: ได้ V65 แต่ควรเป็น V02 → อาจเป็นรหัสปลอม!
TK-0197-44444-5R-0C-V17-D26,ไม่ถูกต้อง,197,4,4,4,4,4,20,5,0,V17,V16,V code ไม่ตรง: ได้ V17 แต่ควรเป็น V16 → อาจเป็นรหัสปลอม!
TK-0075-44444-5R-0C-V29-D26,ไม่ถูกต้อง,75,4,4,4,4,4,20,5,0,V29,V11,V code ไม่ตรง: ได้ V29 แต่ควรเป็น V11 → อาจเป็นรหัสปลอม!
TK-0239-34343-6R-0C-V90-D26,ไม่ถูกต้อง,239,3,4,3,4,3,17,6,0,V90,V07,V code ไม่ตรง: ได้ V90 แต่ควรเป็น V07 → อาจเป็นรหัสปลอม!
TK-2184-44444-5R-0C-V69-D26,ไม่ถูกต้อง,2184,4,4,4,4,4,20,5,0,V69,V14,V code ไม่ตรง: ได้ V69 แต่ควรเป็น V14 → อาจเป็นรหัสปลอม!
TK-0139-44444-5R-0C-V20-D26,ไม่ถูกต้อง,139,4,4,4,4,4,20,5,0,V20,V12,V code ไม่ตรง: ได้ V20 แต่ควรเป็น V12 → อาจเป็นรหัสปลอม!
TK-0548-43444-5R-0C-V48-D26,ไม่ถูกต้อง,548,4,3,4,4,4,19,5,0,V48,V11,V code ไม่ตรง: ได้ V48 แต่ควรเป็น V11 → อาจเป็นรหัสปลอม!
TK-0232-44444-5R-0C-V84-D26,ไม่ถูกต้อง,232,4,4,4,4,4,20,5,0,V84,V06,V code ไม่ตรง: ได้ V84 แต่ควรเป็น V06 → อาจเป็นรหัสปลอม!
